p,h_min,kc,shell,k_rms,X,gamma_crit,gamma_poisson,fail_prob,Ij_over_Ic,I_total,t_star
0.5,0.7,2,8-10,9.0191,20.3362,0.053538517568948105,0.024338288071152334,0.61,0.37,41.09,22.907
0.5,0.7,2,10-12,11.034,30.4375,0.056313461160969275,0.02559976073775789,0.6,0.3,39.06,22.907
0.5,0.8,1,3-4,3.4081,11.615,0.008198283151388996,0.007002411858365897,0.5,0.49,89.34,91.635
0.5,0.8,1,5-6,5.4438,29.635,0.0093463034920063,0.007982972190125347,0.56,0.31,78.37,91.629
0.5,0.8,1,6-8,7.037,49.52,0.013529199726215791,0.008430363857932043,0.64,0.24,74.21,91.629
0.5,0.8,1,8-10,9.0191,81.345,0.010303709710609964,0.008800722996559464,0.5,0.18,71.09,91.629
0.5,0.8,1,10-12,11.034,121.75,0.010605775030867083,0.009058726500648139,0.56,0.15,69.06,91.629
0.5,0.8,2,3-4,3.4081,2.9037,0.016640031281780585,0.010368796466279933,0.6,0.86,60.34,26.115
0.5,0.8,2,5-6,5.4438,7.4088,0.020742089396288844,0.012924885752527761,0.62,0.61,48.4,22.976
0.5,0.8,2,6-8,7.037,12.38,0.016567512574742475,0.014150834311858016,0.53,0.47,44.21,22.908
0.5,0.8,2,8-10,9.0191,20.3362,0.017826949285917312,0.015226558874957287,0.58,0.37,41.09,22.907
0.5,0.8,2,10-12,11.034,30.4375,0.025702385552347586,0.01601576343080218,0.66,0.3,39.06,22.907
1.0,0.6,1,3-4,3.4081,11.615,0.010479856902684192,0.008951175861363167,0.5,1.67,160.0,91.635
1.0,0.6,1,5-6,5.4438,29.635,0.010479856902684192,0.008951175861363165,0.63,1.67,160.0,91.629
1.0,0.6,1,6-8,7.037,49.52,0.010479856902684192,0.008951175861363165,0.52,1.67,160.0,91.629
1.0,0.6,1,8-10,9.0191,81.345,0.010479856902684192,0.008951175861363165,0.5,1.67,160.0,91.629
1.0,0.6,1,10-12,11.034,121.75,0.010479856902684192,0.008951175861363165,0.53,1.67,160.0,91.629
1.0,0.6,2,3-4,3.4081,2.9037,0.010479856902684192,0.008951175861363165,0.52,1.47,160.0,26.115
1.0,0.6,2,5-6,5.4438,7.4088,0.014365008207673035,0.008951175861363165,0.73,1.66,160.0,22.976
1.0,0.6,2,6-8,7.037,12.38,0.010479856902684192,0.008951175861363165,0.53,1.67,160.0,22.908
1.0,0.6,2,8-10,9.0191,20.3362,0.010479856902684192,0.008951175861363165,0.5,1.67,160.0,22.907
1.0,0.6,2,10-12,11.034,30.4375,0.014365008207673035,0.008951175861363165,0.68,1.67,160.0,22.907
1.0,0.7,1,3-4,3.4081,11.615,0.013748532100026328,0.006250000000000001,0.7,1.67,160.0,91.635
1.0,0.7,1,5-6,5.4438,29.635,0.010030112544820877,0.00625,0.55,1.67,160.0,91.629
1.0,0.7,1,6-8,7.037,49.52,0.013748532100026328,0.00625,0.58,1.67,160.0,91.629
1.0,0.7,1,8-10,9.0191,81.345,0.013748532100026328,0.00625,0.72,1.67,160.0,91.629
1.0,0.7,1,10-12,11.034,121.75,0.010030112544820877,0.00625,0.51,1.67,160.0,91.629
1.0,0.7,2,3-4,3.4081,2.9037,0.013748532100026328,0.00625,0.62,1.47,160.0,26.115
1.0,0.7,2,5-6,5.4438,7.4088,0.010030112544820877,0.00625,0.57,1.66,160.0,22.976
1.0,0.7,2,6-8,7.037,12.38,0.013748532100026328,0.00625,0.66,1.67,160.0,22.908
1.0,0.7,2,8-10,9.0191,20.3362,0.013748532100026328,0.00625,0.65,1.67,160.0,22.907
1.0,0.7,2,10-12,11.034,30.4375,0.013748532100026328,0.00625,0.76,1.67,160.0,22.907
1.0,0.8,1,3-4,3.4081,11.615,0.003339769492838387,0.003910135038679295,0.5,1.67,160.0,91.635
