kc,shell_lo,shell_hi,k_rms_nom,k_ratio_sq_nom,tau_H_analytic,tau_U_mean,tau_U_std,tauH_over_tauU_mean,tauH_over_tauU_std,n
1,3,4,3.448223296487486,11.890243902439027,100.0,8.767999999999999,0.2599538420566237,11.415058314643975,0.3358630524661542,25
1,4,5,4.505047674049027,20.295454545454543,100.0,5.050000000000001,0.08485281374238575,19.80756215664735,0.3323167992034966,25
1,5,6,5.513207283011817,30.39545454545454,100.0,3.36,0.03741657386773946,29.76558731568847,0.3307273476504444,25
1,6,8,7.08096271342599,50.140032948929154,100.0,2.0680000000000005,0.027856776554368183,48.364692218350754,0.6528244420142336,25
1,8,10,9.063986800959983,82.15585672797678,100.0,1.262,0.02135415650406264,79.26153846153846,1.3141019387115473,25
1,10,12,11.029158434188139,121.64233576642336,100.0,0.8500000000000001,0.0,117.6470588235294,0.0,25
2,3,4,3.448223296487486,2.9725609756097566,25.0,8.596,0.3577485150213765,2.913328648357927,0.12034253979007613,25
2,4,5,4.505047674049027,5.073863636363636,25.0,5.082000000000001,0.08588364221433555,4.920726861104838,0.08308367766313994,25
2,5,6,5.513207283011817,7.598863636363635,25.0,3.364,0.05200000000000005,7.43340482093011,0.11492438994443252,25
2,6,8,7.08096271342599,12.535008237232288,25.0,2.062,0.02925747767665556,12.126596980255515,0.17239270410860105,25
2,8,10,9.063986800959983,20.538964181994196,25.0,1.264,0.022449944320643667,19.784615384615382,0.3453837587791334,25
2,10,12,11.029158434188139,30.41058394160584,25.0,0.8500000000000001,0.0,29.41176470588235,0.0,25
3,3,4,3.448223296487486,1.3211382113821142,11.11111111111111,8.61,0.2603843313258306,1.2916544922521331,0.0385494301362034,25
3,4,5,4.505047674049027,2.255050505050505,11.11111111111111,5.040000000000001,0.09055385138137423,2.2052980055230593,0.03966135674441409,25
3,5,6,5.513207283011817,3.377272727272727,11.11111111111111,3.3620000000000005,0.049558046773455516,3.305632219019248,0.048928049433875465,25
3,6,8,7.08096271342599,5.57111477210324,11.11111111111111,2.06,0.019999999999999928,5.394244418634663,0.05161956381468577,25
3,8,10,9.063986800959983,9.128428525330753,11.11111111111111,1.254,0.01356465996625055,8.861538461538462,0.09274981173504657,25
3,10,12,11.029158434188139,13.51581508515815,11.11111111111111,0.8500000000000001,0.0,13.071895424836601,1.7763568394002505e-15,25
4,3,4,3.448223296487486,0.7431402439024392,6.25,8.46,0.2289104628451921,0.7393140468784878,0.020088986872094483,25
4,4,5,4.505047674049027,1.268465909090909,6.25,4.988,0.09410632284814874,1.2534497719770807,0.02346253817539461,25
4,5,6,5.513207283011817,1.8997159090909088,6.25,3.3500000000000005,0.0469041575982343,1.8660345679183712,0.02592358314890726,25
4,6,8,7.08096271342599,3.133752059308072,6.25,2.064,0.026532998322843147,3.0286004645760745,0.0388757296475925,25
4,8,10,9.063986800959983,5.134741045498549,6.25,1.256,0.016248076809271938,4.976923076923077,0.06249260311258438,25
4,10,12,11.029158434188139,7.60264598540146,6.25,0.8500000000000001,0.0,7.352941176470588,0.0,25
5,3,4,3.448223296487486,0.47560975609756095,4.0,8.494000000000002,0.368597341281784,0.471752308890267,0.019204962225643486,25
5,4,5,4.505047674049027,0.8118181818181817,4.0,5.0040000000000004,0.11655041827466772,0.7998005270706721,0.018897837530288904,25
5,5,6,5.513207283011817,1.2158181818181817,4.0,3.3680000000000003,0.05075431016179807,1.1879149309419952,0.0176859325656806,25
5,6,8,7.08096271342599,2.0056013179571663,4.0,2.056,0.029393876913398134,1.945923344947735,0.027847606011398376,25
5,8,10,9.063986800959983,3.286234269119071,4.0,1.254,0.01356465996625055,3.1901538461538466,0.03338993222461683,25
5,10,12,11.029158434188139,4.8656934306569335,4.0,0.8500000000000001,0.0,4.705882352941176,0.0,25
